語言	條目	字元數	發現路徑
de	Pepo	63216	Kategorie:Sagengestalt > Fabelwesen > Geistwesen
de	Wechselbalg	63209	Kategorie:Sagengestalt > Fabelwesen
ja	アリエル (ディズニーキャラクター)	63177	Category:魔女 > 魔女を題材とした作品 > 人魚姫
en	William Phips	63067	Category:Witchcraft > Witch hunting > Critics of witch hunting
ja	ベヨネッタ2	62958	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
es	Brujería en España	62793	Categoría:Brujería > Brujería por país > Brujería en España
it	Kefka Palazzo	62773	Categoria:Stregoneria > Stregoni immaginari
ja	デビルマンG	62747	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
ja	エコエコアザラク	62502	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした映画作品
it	Harry Potter (personaggio)	62472	Categoria:Stregoneria > Stregoni immaginari
en	Queen of Sheba	62456	Category:Witchcraft > Witchcraft in folklore and mythology > Witches in folklore
es	Nehelenia	62333	Categoría:Brujería > Brujos ficticios
en	Koh-i-Noor	62312	Category:Witchcraft > Curses
en	Jean Bodin	62166	Category:European witchcraft > Witchcraft in France
zh	于谦	62166	Category:中國民間信仰 > 中国人物神
en	Holy Grail	62075	Category:European witchcraft > Cauldrons
de	Der Zauberer von Oz	62068	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
de	Friedrich Förner	61928	Kategorie:Hexenverfolgung > Hexenverfolgung in Bamberg
es	Bruja Escarlata	61891	Categoría:Brujería > Brujos ficticios > Brujas de Marvel Comics
de	Wilhelm Friedrich Lutz	61882	Kategorie:Hexenverfolgung > Gegner der Hexenverfolgung
en	Matthew Hale (jurist)	61769	Category:Witch trials > Witch trials in Europe > Witch trials in England
fr	Prudence Halliwell	61768	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Bayonetta 2	61743	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
de	Der Hobbit: Eine unerwartete Reise	61564	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Curse of Ham	61263	Category:Witchcraft > Curses
en	Treehouse of Horror	60945	Category:Witchcraft > Curses > Fiction about curses
en	Unico	60908	Category:European witchcraft > Imps
en	Black Sunday (1960 film)	60893	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	魔女と野獣	60788	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
de	Artus	60667	Kategorie:Sagengestalt > Mythischer Herrscher
en	Witch-cult hypothesis	60567	Category:European witchcraft
ja	終末のイゼッタ	60412	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Witches (Discworld)	60230	Category:Witchcraft > Fiction about witchcraft > Witchcraft in written fiction
en	Elohim	60167	Category:Witchcraft > Incantation > Magic words
en	Witch Hat Atelier	59953	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
es	Paulo Coelho	59826	Categoría:Brujería > Satanismo > Conversos al cristianismo desde el satanismo u ocultismo
fr	Suspiria	59655	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Film sur la sorcellerie
es	Histeria de abuso sexual en las guarderías	59650	Categoría:Brujería > Satanismo > Abuso ritual satánico
es	Luis Alfredo Garavito	59620	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
en	Oak Island mystery	59544	Category:Witchcraft > Curses
fr	His Dark Materials : À la croisée des mondes	59511	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	Kiki's Delivery Service	59157	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
ja	呪符	59131	Category:呪術 > 陰陽道
fr	Les Nouvelles Aventures de Sabrina	59026	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Diable dans la fiction
es	Satanismo	58981	Categoría:Brujería > Satanismo
en	Haunted Mansion (2023 film)	58853	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Avengers: Doomsday	58779	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
fr	Grimm (série télévisée)	58731	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
de	Hexenverfolgung im Herzogtum Westfalen	58711	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung > Hexenprozesse in Deutschland
de	Wednesday (Fernsehserie)	58651	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
fr	Procès de sorcellerie de Fribourg	58622	Catégorie:Sorcellerie > Sorcellerie féminine
en	The Witch and the Beast	58485	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
de	Erzengel Michael	58159	Kategorie:Sagengestalt > Drachentöter
es	8kun	58152	Categoría:Brujería > Satanismo > QAnon
ja	魔法使いの夜	58148	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
de	Bibi Blocksberg	57979	Kategorie:Hexerei > Hexerei in der Kultur
ja	悪路王	57955	Category:日本の妖怪 > 鬼
it	Lilith	57940	Categoria:Stregoneria
de	Das siebente Siegel	57879	Kategorie:Hexenverfolgung > Hexenverfolgung in der Kultur
en	Book of Shadows: Blair Witch 2	57683	Category:Witchcraft > Fiction about witchcraft > Blair Witch
en	The Beyond (1981 film)	57610	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Snow White's Enchanted Wish	57542	Categoría:Brujería > Brujería en la ficción
ko	멩두	57432	분류:무속 > 무속 용품
de	Spring Heeled Jack	57388	Kategorie:Sagengestalt
en	Atropa bella-donna	57332	Category:European witchcraft
en	The Haunted Mansion	57255	Category:Witchcraft > Fiction about witchcraft
en	The Dark Pictures Anthology: Little Hope	57197	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
de	Fliegender Holländer (Sage)	57082	Kategorie:Sagengestalt > Fabelwesen
en	Witchcraft Works	57063	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
es	764 (organización)	56744	Categoría:Brujería > Satanismo
ja	タロット	56695	Category:呪術 > 西洋魔術
it	Caccia alle streghe	56686	Categoria:Stregoneria
en	Queens' College, Cambridge	56650	Category:Witch trials > People accused of witchcraft > Elizabeth Woodville
ja	天社土御門神道	56572	Category:呪術 > 陰陽道
ja	魔女狩り	56529	Category:魔女
en	Fate/Apocrypha	56427	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
fr	Puella Magi Madoka Magica	56418	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
zh	孙悟空	56377	Category:中國民間信仰 > 福建民間信仰
en	Snow White and the Huntsman	56341	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	The Ring (franchise)	56273	Category:Witchcraft > Curses > Fiction about curses
en	Drak (mythology)	56188	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
de	Rattenfänger von Hameln	56096	Kategorie:Sagengestalt
en	Soul Eater	56069	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
zh	上帝	55980	Category:中國民間信仰 > 中国民间信仰神祇
en	The Prince and the Gypsy Woman	55958	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
de	Bader-Ann	55937	Kategorie:Hexenverfolgung > Opfer der Hexenverfolgung
en	Helluva Boss	55902	Category:European witchcraft > Imps
zh	孙膑	55760	Category:中國民間信仰 > 中国人物神
fr	Soupçon de magie	55741	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
de	Vampir	55739	Kategorie:Sagengestalt > Fabelwesen > Blutsauger
en	Pig-faced women	55736	Category:Witchcraft
ja	平宗盛	55718	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
fr	Willow Rosenberg	55702	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Super Bowl curse	55609	Category:Witchcraft > Curses > Sports-related curses
fr	Minerva McGonagall	55439	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Yamada-kun and the Seven Witches	55255	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Tomb Raider: The Angel of Darkness	55169	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Weapons (2025 film)	55111	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Die tragische Historie vom Doktor Faustus	55020	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
es	Chilling Adventures of Sabrina (serie de televisión)	54952	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
en	Bayonetta 3	54923	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	History of Arda	54908	Category:Witchcraft > Fiction about witchcraft > Middle-earth
es	Quan Chi	54699	Categoría:Brujería > Brujos ficticios
it	Strega	54695	Categoria:Stregoneria
it	Wanda Maximoff (Marvel Cinematic Universe)	54692	Categoria:Stregoneria > Streghe nelle opere di fantasia
zh	生肖纪年	54615	Category:中國民間信仰
de	Der Zauberer von Oz (1939)	54588	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
ja	魔術	54469	Category:呪術
it	Streghe (serie televisiva 2018)	54419	Categoria:Stregoneria > Streghe nelle opere di fantasia
ja	魔女っ子チックル	54392	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
it	Albus Silente	54151	Categoria:Stregoneria > Stregoni immaginari
en	Willow (1988 film)	54088	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Ronald Hutton	54059	Category:Witchcraft > Historians of witchcraft
ja	陰陽師	53934	Category:陰陽道 > 陰陽寮
en	Little Witch Academia	53843	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Sleeping Beauty	53836	Category:Witchcraft > Curses > Fiction about curses
fr	Sabbat (sorcellerie)	53828	Catégorie:Sorcellerie > Sorcellerie féminine
en	Anti-cult movement	53648	Category:Witchcraft > Witch hunting
es	Solomon Grundy (cómic)	53610	Categoría:Brujería > Zombis > Zombis en la historieta
es	Zombi	53539	Categoría:Brujería > Zombis
de	Fee	53534	Kategorie:Sagengestalt > Weibliche Sagengestalt
de	Dracula (Roman)	53527	Kategorie:Sagengestalt > Fabelwesen > Blutsauger
fr	Shadowhunters	53371	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
es	True Blood	53363	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
de	Harry Potter und die Heiligtümer des Todes – Teil 2	53246	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
en	Sports Illustrated cover jinx	53106	Category:Witchcraft > Curses > Sports-related curses
de	Melusine	53025	Kategorie:Sagengestalt > Weibliche Sagengestalt
en	Den-noh Coil	52987	Category:Witchcraft > Curses > Fiction about curses
ja	Magico	52945	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした漫画作品
fr	La Petite Sirène (film, 1989)	52894	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Abraxas	52829	Category:Witchcraft > Incantation > Magic words
it	Gandalf	52721	Categoria:Stregoneria > Stregoni immaginari
zh	紙錢	52714	Category:中國民間信仰 > 中国民间祭祀活动
en	Anne of Denmark and contrary winds	52629	Category:Witch trials > Witch trials in Europe > Witch trials in Scotland
zh	鄭和	52550	Category:中國民間信仰 > 中国人物神
de	Paula von Weitershausen	52506	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung
en	Practical Magic	52466	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	The Sea Tsar and Vasilisa the Wise	52334	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Witchcraft in Africa	52260	Category:Witchcraft > African witchcraft
zh	香港太平清醮	52202	Category:中國民間信仰 > 香港民間信仰
en	Magical Chase	52183	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
ja	魔女と百騎兵	52143	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
es	Clementine Barnabet	52110	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
de	Hexenprozesse in Freiburg (Schweiz)	52041	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung
fr	Harry Potter (personnage)	51995	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
ja	火の蛇	51933	Category:呪術
fr	Merlin (téléfilm, 1998)	51881	Catégorie:Sorcellerie > Magicien ou sorcier de légende > Merlin
ja	後鳥羽天皇	51788	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
en	Suspiria	51681	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	George Pickingill	51631	Category:Witchcraft > Witchcraft in folklore and mythology
en	Umineko When They Cry	51515	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
ja	ショコラの魔法	51426	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
de	Harry Potter und das verwunschene Kind	51365	Kategorie:Hexerei > Hexerei in der Kultur
en	Bedknobs and Broomsticks	51340	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Séphiroth (Final Fantasy)	51268	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
fr	Wicked : Partie 2	51262	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Film sur la sorcellerie
en	Cat meat	51123	Category:Witchcraft > Curses > Taboo
en	Andover, Massachusetts	51041	Category:Witch trials > Witch trials in North America > Salem witch trials
ja	件	50998	Category:日本の妖怪
es	Biblia satánica	50909	Categoría:Brujería > Satanismo > Demonología
zh	保生大帝	50892	Category:中國民間信仰 > 中国人物神
en	Snow White: A Tale of Terror	50886	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Princesse Zelda	50873	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Dororo (2019 TV series)	50698	Category:Witchcraft > Curses > Fiction about curses
en	Goblin Slayer	50696	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
en	Medea (play)	50684	Category:Witchcraft > Fiction about witchcraft > Works about Medea
en	Cotton: Fantastic Night Dreams	50543	Category:Witchcraft > Fiction about witchcraft > Cotton (series)
ja	レアリア	50521	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした小説
en	The Dawn of the Witch	50500	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
